sa1_7digitcode_2011,sa2_name_2011,sa3_name_2011,sa4_name_2011,gccsa_name_2011
2100101,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100102,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100103,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100104,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100105,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100106,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100107,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100108,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100109,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100110,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100111,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100112,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100113,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100114,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100115,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100116,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100117,Alfredton,Ballarat,Ballarat,Rest of Vic.
2100201,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100202,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100203,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100204,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100205,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100206,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100207,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100208,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100209,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100210,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100211,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100212,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100213,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100214,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100215,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100216,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100217,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100218,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100219,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100220,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100221,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100222,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100223,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100224,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100225,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100226,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100227,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100228,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100229,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100230,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100231,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100232,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100233,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100234,Ballarat,Ballarat,Ballarat,Rest of Vic.
2100301,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100302,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100303,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100304,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100305,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100306,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100307,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100308,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100309,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100310,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100311,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100312,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100313,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100314,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100315,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100316,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100317,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100318,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100319,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100320,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100321,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100322,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100323,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100324,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100325,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100326,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100327,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100328,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100329,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100330,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100331,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100332,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100333,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100334,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100335,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
2100336,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
