sa2_5digitcode_2011,sa2_name_2011,sa3_name_2011,sa4_name_2011,gccsa_name_2011
21001,Alfredton,Ballarat,Ballarat,Rest of Vic.
21002,Ballarat,Ballarat,Ballarat,Rest of Vic.
21003,Ballarat - North,Ballarat,Ballarat,Rest of Vic.
21004,Ballarat - South,Ballarat,Ballarat,Rest of Vic.
21005,Buninyong,Ballarat,Ballarat,Rest of Vic.
21006,Delacombe,Ballarat,Ballarat,Rest of Vic.
21007,Smythes Creek,Ballarat,Ballarat,Rest of Vic.
21008,Wendouree - Miners Rest,Ballarat,Ballarat,Rest of Vic.
21009,Bacchus Marsh Region,Creswick - Daylesford - Ballan,Ballarat,Rest of Vic.
21010,Creswick - Clunes,Creswick - Daylesford - Ballan,Ballarat,Rest of Vic.
21011,Daylesford,Creswick - Daylesford - Ballan,Ballarat,Rest of Vic.
21012,Gordon (Vic.),Creswick - Daylesford - Ballan,Ballarat,Rest of Vic.
21013,Avoca,Maryborough - Pyrenees,Ballarat,Rest of Vic.
21014,Beaufort,Maryborough - Pyrenees,Ballarat,Rest of Vic.
21015,Golden Plains - North,Maryborough - Pyrenees,Ballarat,Rest of Vic.
21016,Maryborough (Vic.),Maryborough - Pyrenees,Ballarat,Rest of Vic.
21017,Maryborough Region,Maryborough - Pyrenees,Ballarat,Rest of Vic.
21018,Bendigo,Bendigo,Bendigo,Rest of Vic.
21019,California Gully - Eaglehawk,Bendigo,Bendigo,Rest of Vic.
21020,East Bendigo - Kennington,Bendigo,Bendigo,Rest of Vic.
21021,Flora Hill - Spring Gully,Bendigo,Bendigo,Rest of Vic.
21022,Kangaroo Flat - Golden Square,Bendigo,Bendigo,Rest of Vic.
21023,Maiden Gully,Bendigo,Bendigo,Rest of Vic.
21024,Strathfieldsaye,Bendigo,Bendigo,Rest of Vic.
21025,White Hills - Ascot,Bendigo,Bendigo,Rest of Vic.
21026,Bendigo Region - South,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
21027,Castlemaine,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
21028,Castlemaine Region,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
21029,Heathcote,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
21030,Kyneton,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
21031,Woodend,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
21032,Bendigo Region - North,Loddon - Elmore,Bendigo,Rest of Vic.
21033,Loddon,Loddon - Elmore,Bendigo,Rest of Vic.
21034,Bannockburn,Barwon - West,Geelong,Rest of Vic.
21035,Golden Plains - South,Barwon - West,Geelong,Rest of Vic.
21036,Winchelsea,Barwon - West,Geelong,Rest of Vic.
21037,Belmont,Geelong,Geelong,Rest of Vic.
21038,Corio - Norlane,Geelong,Geelong,Rest of Vic.
21039,Geelong,Geelong,Geelong,Rest of Vic.
21040,Geelong West - Hamlyn Heights,Geelong,Geelong,Rest of Vic.
21041,Grovedale,Geelong,Geelong,Rest of Vic.
21042,Highton,Geelong,Geelong,Rest of Vic.
21043,Lara,Geelong,Geelong,Rest of Vic.
21044,Leopold,Geelong,Geelong,Rest of Vic.
21045,Newcomb - Moolap,Geelong,Geelong,Rest of Vic.
21046,Newtown (Vic.),Geelong,Geelong,Rest of Vic.
21047,North Geelong - Bell Park,Geelong,Geelong,Rest of Vic.
21048,Clifton Springs,Surf Coast - Bellarine Peninsula,Geelong,Rest of Vic.
21049,Lorne - Anglesea,Surf Coast - Bellarine Peninsula,Geelong,Rest of Vic.
21050,Ocean Grove - Barwon Heads,Surf Coast - Bellarine Peninsula,Geelong,Rest of Vic.
21051,Portarlington,Surf Coast - Bellarine Peninsula,Geelong,Rest of Vic.
21052,Queenscliff,Surf Coast - Bellarine Peninsula,Geelong,Rest of Vic.
21053,Torquay,Surf Coast - Bellarine Peninsula,Geelong,Rest of Vic.
21054,Alexandra,Upper Goulburn Valley,Hume,Rest of Vic.
21055,Euroa,Upper Goulburn Valley,Hume,Rest of Vic.
21056,Kilmore - Broadford,Upper Goulburn Valley,Hume,Rest of Vic.
21057,Mansfield (Vic.),Upper Goulburn Valley,Hume,Rest of Vic.
21058,Nagambie,Upper Goulburn Valley,Hume,Rest of Vic.
21059,Seymour,Upper Goulburn Valley,Hume,Rest of Vic.
21060,Seymour Region,Upper Goulburn Valley,Hume,Rest of Vic.
21061,Upper Yarra Valley,Upper Goulburn Valley,Hume,Rest of Vic.
21062,Yea,Upper Goulburn Valley,Hume,Rest of Vic.
21063,Benalla,Wangaratta - Benalla,Hume,Rest of Vic.
21064,Benalla Region,Wangaratta - Benalla,Hume,Rest of Vic.
21065,Rutherglen,Wangaratta - Benalla,Hume,Rest of Vic.
21066,Wangaratta,Wangaratta - Benalla,Hume,Rest of Vic.
21067,Wangaratta Region,Wangaratta - Benalla,Hume,Rest of Vic.
21068,Beechworth,Wodonga - Alpine,Hume,Rest of Vic.
21069,Bright - Mount Beauty,Wodonga - Alpine,Hume,Rest of Vic.
21070,Chiltern - Indigo Valley,Wodonga - Alpine,Hume,Rest of Vic.
21071,Myrtleford,Wodonga - Alpine,Hume,Rest of Vic.
21072,Towong,Wodonga - Alpine,Hume,Rest of Vic.
21073,West Wodonga,Wodonga - Alpine,Hume,Rest of Vic.
21074,Wodonga,Wodonga - Alpine,Hume,Rest of Vic.
21075,Yackandandah,Wodonga - Alpine,Hume,Rest of Vic.
21076,Drouin,Baw Baw,Latrobe - Gippsland,Rest of Vic.
21077,Mount Baw Baw Region,Baw Baw,Latrobe - Gippsland,Rest of Vic.
21078,Trafalgar (Vic.),Baw Baw,Latrobe - Gippsland,Rest of Vic.
21079,Warragul,Baw Baw,Latrobe - Gippsland,Rest of Vic.
21080,Alps - East,Gippsland - East,Latrobe - Gippsland,Rest of Vic.
21081,Bairnsdale,Gippsland - East,Latrobe - Gippsland,Rest of Vic.
21082,Bruthen - Omeo,Gippsland - East,Latrobe - Gippsland,Rest of Vic.
21083,Lake King,Gippsland - East,Latrobe - Gippsland,Rest of Vic.
21084,Lakes Entrance,Gippsland - East,Latrobe - Gippsland,Rest of Vic.
21085,Orbost,Gippsland - East,Latrobe - Gippsland,Rest of Vic.
21086,Paynesville,Gippsland - East,Latrobe - Gippsland,Rest of Vic.
21087,Foster,Gippsland - South West,Latrobe - Gippsland,Rest of Vic.
21088,French Island,Gippsland - South West,Latrobe - Gippsland,Rest of Vic.
21089,Korumburra,Gippsland - South West,Latrobe - Gippsland,Rest of Vic.
21090,Leongatha,Gippsland - South West,Latrobe - Gippsland,Rest of Vic.
21091,Phillip Island,Gippsland - South West,Latrobe - Gippsland,Rest of Vic.
21092,Wilsons Promontory,Gippsland - South West,Latrobe - Gippsland,Rest of Vic.
21093,Wonthaggi - Inverloch,Gippsland - South West,Latrobe - Gippsland,Rest of Vic.
21094,Churchill,Latrobe Valley,Latrobe - Gippsland,Rest of Vic.
21095,Moe - Newborough,Latrobe Valley,Latrobe - Gippsland,Rest of Vic.
21096,Morwell,Latrobe Valley,Latrobe - Gippsland,Rest of Vic.
21097,Traralgon,Latrobe Valley,Latrobe - Gippsland,Rest of Vic.
21098,Yallourn North - Glengarry,Latrobe Valley,Latrobe - Gippsland,Rest of Vic.
21099,Alps - West,Wellington,Latrobe - Gippsland,Rest of Vic.
21100,Longford - Loch Sport,Wellington,Latrobe - Gippsland,Rest of Vic.
21101,Maffra,Wellington,Latrobe - Gippsland,Rest of Vic.
21102,Rosedale,Wellington,Latrobe - Gippsland,Rest of Vic.
21103,Sale,Wellington,Latrobe - Gippsland,Rest of Vic.
21104,Yarram,Wellington,Latrobe - Gippsland,Rest of Vic.
21105,Brunswick,Brunswick - Coburg,Melbourne - Inner,Greater Melbourne
21106,Brunswick East,Brunswick - Coburg,Melbourne - Inner,Greater Melbourne
21107,Brunswick West,Brunswick - Coburg,Melbourne - Inner,Greater Melbourne
21108,Coburg,Brunswick - Coburg,Melbourne - Inner,Greater Melbourne
21109,Pascoe Vale South,Brunswick - Coburg,Melbourne - Inner,Greater Melbourne
21110,Alphington - Fairfield,Darebin - South,Melbourne - Inner,Greater Melbourne
21111,Northcote,Darebin - South,Melbourne - Inner,Greater Melbourne
21112,Thornbury,Darebin - South,Melbourne - Inner,Greater Melbourne
21113,Ascot Vale,Essendon,Melbourne - Inner,Greater Melbourne
21114,Essendon - Aberfeldie,Essendon,Melbourne - Inner,Greater Melbourne
21115,Flemington,Essendon,Melbourne - Inner,Greater Melbourne
21116,Moonee Ponds,Essendon,Melbourne - Inner,Greater Melbourne
21117,Carlton,Melbourne City,Melbourne - Inner,Greater Melbourne
21118,Docklands,Melbourne City,Melbourne - Inner,Greater Melbourne
21119,East Melbourne,Melbourne City,Melbourne - Inner,Greater Melbourne
21120,Flemington Racecourse,Melbourne City,Melbourne - Inner,Greater Melbourne
21121,Kensington,Melbourne City,Melbourne - Inner,Greater Melbourne
