_id,geo_point_2d,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,carrying,operator,diameter,material,height_mm,form,mat_desc,dnstr_inv
1,"-37.832359984743945, 144.9723773392074","{""coordinates"": [[144.972362288225, -37.83235535572898], [144.97239239018984, -37.83236461375891]], ""type"": ""LineString""}",,1472763,,1472761,1473265,,3.0,Stormwater,City of Melbourne,150,Unknown,,Pipe,,
2,"-37.81302804684621, 144.93898090981813","{""coordinates"": [[144.93891931812107, -37.81292522638127], [144.9390425015152, -37.81313086731116]], ""type"": ""LineString""}",2006-01-01,,,,1379195,0,4.79537394102391,Stormwater,City of Melbourne,450,Concrete,0,Pipe,,
3,"-37.82026540119676, 144.9575218117356","{""coordinates"": [[144.95753958893778, -37.82023993734954], [144.9575040345334, -37.82029086504397]], ""type"": ""LineString""}",1942-01-01,1152853,,1152688,1138399,0,3.27143700018653,Stormwater,City of Melbourne,750,Brick,0,Pipe,Brick Barrel,
4,"-37.830759012745204, 144.9741777544205","{""coordinates"": [[144.97422754662665, -37.83063755978415], [144.97412796221437, -37.83088046570625]], ""type"": ""LineString""}",,1472766,,1472784,1473274,,3.0,Stormwater,City of Melbourne,150,Plastic,,Pipe,,
5,"-37.83103639062876, 144.97380384007778","{""coordinates"": [[144.9738022883896, -37.83102802940604], [144.97380539176598, -37.83104475185148]], ""type"": ""LineString""}",,1472768,,1472810,1473277,,3.0,Stormwater,City of Melbourne,150,Plastic,,Pipe,,
6,"-37.81756401301388, 144.95724821623554","{""coordinates"": [[144.9572646951749, -37.81755749639214], [144.95723173729615, -37.81757052963562]], ""type"": ""LineString""}",1940-01-01,1140581,,1140580,1137956,0,3.20320732046356,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
7,"-37.80945294404728, 144.9493389052945","{""coordinates"": [[144.94939414523228, -37.809463403983166], [144.94928366535675, -37.8094424841114]], ""type"": ""LineString""}",1944-01-01,1143425,,1149289,1128412,0,3.2984493165224,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Earthenware,
8,"-37.82248586251303, 144.93929170780302","{""coordinates"": [[144.93962466709178, -37.82256141870966], [144.93895874851424, -37.82241030631639]], ""type"": ""LineString""}",2012-02-15,,,,1506108,0,4.92182137259668,Stormwater,City of Melbourne,150,Plastic,0,Pipe,,
9,"-37.78313698988602, 144.95563941435677","{""coordinates"": [[144.95572299986054, -37.783109002356646], [144.955555828853, -37.78316497741539]], ""type"": ""LineString""}",,,,1452606,1453197,0,3.0,Stormwater,City of Melbourne,100,Plastic,0,Pipe,,
10,"-37.81439952416767, 144.94281407897319","{""coordinates"": [[144.94283691015517, -37.81443723882712], [144.94279124779118, -37.81436180950821]], ""type"": ""LineString""}",2000-01-01,1154144,,1154143,1139725,0,4.63611015047228,Stormwater,City of Melbourne,225,Concrete,0,Pipe,RCP up to 375 Diameter,0.695
11,"-37.837581191309376, 144.97635071067742","{""coordinates"": [[144.9763760176186, -37.83756016575863], [144.97632540373627, -37.83760221686012]], ""type"": ""LineString""}",1940-01-01,1152629,,1152628,1137007,0,3.2032076683817,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
12,"-37.813613927219436, 144.96574833635228","{""coordinates"": [[144.9657278588471, -37.81356819786825], [144.96576881385747, -37.81365965657063]], ""type"": ""LineString""}",1883-01-01,1143021,,1149250,1128305,1250,1.88325401163197,Stormwater,City of Melbourne,0,Brick,1950,Pipe,Brick Barrel,
13,"-37.816496043911954, 144.96692424712506","{""coordinates"": [[144.96688070344211, -37.81642434517051], [144.966967790808, -37.8165677426534]], ""type"": ""LineString""}",1911-01-01,1149189,,1149188,1128082,0,2.54201321554493,Stormwater,City of Melbourne,1200,Brick,0,Pipe,Brick Barrel,
14,"-37.81995357582642, 144.95742357038836","{""coordinates"": [[144.95733867463736, -37.81976945801624], [144.95750846613936, -37.82013769363659]], ""type"": ""LineString""}",1896-01-01,1149134,,1149460,1128934,0,2.18912000183186,Stormwater,City of Melbourne,750,Brick,0,Pipe,Brick Barrel,
15,"-37.80000930989976, 144.94865439413996","{""coordinates"": [[144.94878239342881, -37.80002281147941], [144.94852639485114, -37.799995808320105]], ""type"": ""LineString""}",1997-01-01,1144606,,1144607,1131358,0,4.60079724279274,Stormwater,City of Melbourne,600,Concrete,0,Pipe,RCP 600 Diameter and above,
16,"-37.78970710080037, 144.94597962048755","{""coordinates"": [[144.94594727488894, -37.7896491830864], [144.9460119660862, -37.78976501851435]], ""type"": ""LineString""}",,1452668,,,1453353,0,4.0,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
17,"-37.81583957352653, 144.93530549784265","{""coordinates"": [[144.93504812991995, -37.81593762059172], [144.93556286576532, -37.81574152646134]], ""type"": ""LineString""}",2012-02-15,,,,1503753,0,4.92773766339081,Stormwater,City of Melbourne,450,Concrete,0,Pipe,,
18,"-37.816561139942664, 144.96037666457562","{""coordinates"": [[144.96039667087655, -37.81654349859229], [144.96035665827466, -37.816578781293046]], ""type"": ""LineString""}",1926-01-01,1150559,,1140474,1132109,0,2.86990894490225,Stormwater,City of Melbourne,225,Earthenware,0,Pipe,Earthenware,
19,"-37.79238159728549, 144.92070157736606","{""coordinates"": [[144.92069164129398, -37.79238441600252], [144.92071151343816, -37.79237877856846]], ""type"": ""LineString""}",1995-01-01,1144939,,1144938,1133468,0,4.51848159453584,Stormwater,City of Melbourne,300,Concrete,0,Pipe,RCP up to 375 Diameter,
20,"-37.828423975881805, 144.96597714477662","{""coordinates"": [[144.9659915171648, -37.82839543211787], [144.96596277238842, -37.82845251964574]], ""type"": ""LineString""}",1981-01-01,1141736,,1151425,1134960,0,4.27062033186178,Stormwater,City of Melbourne,750,Concrete,0,Pipe,RCP 600 Diameter and above,
21,"-37.822964987843406, 144.9651922099713","{""coordinates"": [[144.96526570961944, -37.82298348675453], [144.9651187103231, -37.82294648893228]], ""type"": ""LineString""}",1981-01-01,1141456,,1141457,1134688,0,4.25485005952878,Stormwater,City of Melbourne,600,Concrete,0,Pipe,RCP 600 Diameter and above,
22,"-37.79816622399298, 144.9490697986926","{""coordinates"": [[144.94910539765337, -37.79813980418473], [144.9490341997318, -37.79819264380124]], ""type"": ""LineString""}",1919-01-01,1144142,,1144140,1131309,0,2.70322629602902,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Earthenware,
