area_code,area_level,as_at,persons,estimate_type,sa2_code,sa2_name,sa3_name,sa4_name,gccsa_name
21105,SA2,2005-06-30,21384,Final,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2006-06-30,21655,Final,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2007-06-30,22144,Final,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2008-06-30,22641,Final,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2009-06-30,23110,Final,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2010-06-30,23546,Final,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2011-06-30,23987,Final,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2012-06-30,24490,Revised,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2013-06-30,25092,Revised,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2014-06-30,25733,Revised,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21105,SA2,2015-06-30,26240,Preliminary,1105,Brunswick,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2005-06-30,7658,Final,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2006-06-30,7803,Final,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2007-06-30,8058,Final,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2008-06-30,8313,Final,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2009-06-30,8586,Final,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2010-06-30,8789,Final,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2011-06-30,8966,Final,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2012-06-30,9132,Revised,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2013-06-30,9916,Revised,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2014-06-30,10212,Revised,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21106,SA2,2015-06-30,10801,Preliminary,1106,Brunswick East,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2005-06-30,12609,Final,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2006-06-30,12746,Final,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2007-06-30,12946,Final,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2008-06-30,13232,Final,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2009-06-30,13580,Final,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2010-06-30,13741,Final,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2011-06-30,13864,Final,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2012-06-30,14008,Revised,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2013-06-30,14141,Revised,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2014-06-30,14391,Revised,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21107,SA2,2015-06-30,14590,Preliminary,1107,Brunswick West,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2005-06-30,23998,Final,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2006-06-30,24353,Final,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2007-06-30,24772,Final,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2008-06-30,25319,Final,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2009-06-30,25841,Final,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2010-06-30,26015,Final,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2011-06-30,26234,Final,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2012-06-30,26609,Revised,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2013-06-30,26966,Revised,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2014-06-30,27328,Revised,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21108,SA2,2015-06-30,27668,Preliminary,1108,Coburg,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21109,SA2,2005-06-30,9070,Final,1109,Pascoe Vale South,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
21109,SA2,2006-06-30,9206,Final,1109,Pascoe Vale South,Brunswick - Coburg,MELBOURNE - INNER,GREATER MELBOURNE
