id,asset_number,asset_description,construction_material_lupvalue,grate_length,grate_material_lupvalue,grate_width,model_descr_lupvalue,model_no_lupvalue,object_type_lupvalue,overflow_kerb_lupvalue,lat,lon,construction_material_group
1,1596911,SWD Pit - Grated Manhole,Brick,NA,Cast Iron,NA,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.79290628271831,144.95653615629308,Brick
2,1759114,SWD Pit - Lane Type,In Situ Concrete,450,Mild Steel,450,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.81364319503544,144.96760262284465,Concrete/Concrete Composite
3,1150456,SWD Pit - System Node,Brick,0,None,0,SWD Pit - System Node,300414-000,System Node,None,-37.81517520847289,144.96350385914948,Brick
4,1146866,SWD Pit - Lane Type,In Situ Concrete,550,Mild Steel,550,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79321210088348,144.95617023562534,Concrete/Concrete Composite
5,1146782,SWD Pit - Grated Side Entry,Brick,900,Mild Steel,430,SWD Pit - Grated Side Entry Pit - Non Standard Frame and Grate,300402-003,Grated Side Entry,None,-37.79375834585664,144.95548209270686,Brick
6,1812661,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.79259572144807,144.95764183000955,Concrete/Concrete Composite
7,1599211,SWD Pit - Lane Type,In Situ Concrete,640,Mild Steel,640,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.789361437879435,144.9575248981374,Concrete/Concrete Composite
8,1597443,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.78828254644331,144.95867879903517,Concrete/Concrete Composite
9,1812652,SWD Pit - Submerged,Not Known,NA,NA,NA,SWD Pit - Submerged,300415-000,Submerged,None,-37.79278352020564,144.95594288577578,Unknown
10,1567027,SWD Pit - Lane Type,In Situ Concrete,560,Mild Steel,560,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79458712414188,144.9538456072215,Concrete/Concrete Composite
11,1618916,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Exposed Aggregate,-37.793652964461224,144.9565705466886,Concrete/Concrete Composite
12,1149831,SWD Pit - Pipe to Pipe,Other,NA,NA,NA,SWD Pit - Pipe to Pipe,300419-000,Pipe to Pipe,None,-37.79239863929917,144.95859333498052,Other
13,1146736,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.792633697885925,144.9576855274218,Concrete/Concrete Composite
14,1145766,SWD Pit - Grated OFK,Precast Concrete,920,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 915x381 Frame and Grate",300405-004,Grated OFK,Concrete,-37.820702849378506,144.92460718694366,Concrete/Concrete Composite
15,1147477,SWD Pit - Grated OFK,Cast Iron Concrete Infill,930,Cast Iron,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.81825402697499,144.97887749932303,Concrete/Concrete Composite
16,1810678,SWD Pit - Submerged,Not Known,NA,NA,NA,SWD Pit - Submerged,300415-000,Submerged,None,-37.794919488729114,144.95418337750567,Unknown
17,1151668,SWD Pit - System Node,Brick,0,None,0,SWD Pit - System Node,300414-000,System Node,None,-37.78314238186087,144.96326889574712,Brick
18,1146731,SWD Pit - Lane Type,Brick,500,Mild Steel,500,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.7925847483328,144.95685333477806,Brick
19,1146734,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Exposed Aggregate,-37.79264131917708,144.9578184116093,Concrete/Concrete Composite
20,1141274,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 937x549 Frame and Grate",300405-005,Grated OFK,Concrete,-37.82384850200414,144.96050122046205,Concrete/Concrete Composite
21,1152937,SWD Pit - Not Known,Precast Concrete,0,Not Known,0,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.77875860286445,144.94861538236407,Concrete/Concrete Composite
