geo_point,geo_shape,suburb_id,latitude,street_no,str_name,address_pnt,easting,northing,gisid,longitude,suburb,street_id,add_comp,missing_street_number_flag,missing_street_name_flag,missing_suburb_flag,missing_suburb_id_flag,address_completeness
"-37.81372270083, 144.942360371101","{""coordinates"": [144.942360371101, -37.81372270083], ""type"": ""Point""}",599,-37.8137227,2,Marmion Place,2 Marmion Place  Docklands,318878.970914,5812858.06982609,43454,144.94236037,Docklands,120059,,False,False,False,False,Complete
"-37.834473648712, 144.985830959086","{""coordinates"": [144.985830959086, -37.834473648712], ""type"": ""Point""}",595,-37.83447365,238,Domain Road,238 Domain Road  South Yarra,322755.472097,5810638.82615417,61751,144.98583096,South Yarra,572,,False,False,False,False,Complete
"-37.824543614626, 144.947497406914","{""coordinates"": [144.947497406914, -37.824543614626], ""type"": ""Point""}",599,-37.82454361,56,River Esplanade,56 River Esplanade  Docklands,319357.5870063,5811667.25997638,2219,144.94749741,Docklands,117906,,False,False,False,False,Complete
"-37.803653518127, 144.96621988202","{""coordinates"": [144.96621988202, -37.803653518127], ""type"": ""Point""}",585,-37.80365352,1,Argyle Place South,1 Argyle Place South  Carlton,320955.07172582,5814021.40513648,12492,144.96621988,Carlton,398,,False,False,False,False,Complete
"-37.778285397495, 144.941832527766","{""coordinates"": [144.941832527766, -37.778285397495], ""type"": ""Point""}",593,-37.7782854,70,Parkville Avenue,70 Parkville Avenue  Parkville,318745.89609588,5816789.38922107,21054,144.94183253,Parkville,119271,,False,False,False,False,Complete
"-37.79660718279, 144.972185268748","{""coordinates"": [144.972185268748, -37.79660718279], ""type"": ""Point""}",585,-37.79660718,83,Palmerston Street,83 Palmerston Street  Carlton,321463.32456253,5814814.72260444,10002,144.97218527,Carlton,955,,False,False,False,False,Complete
"-37.793387024113, 144.956343896733","{""coordinates"": [144.956343896733, -37.793387024113], ""type"": ""Point""}",593,-37.79338702,189,Park Drive,189 Park Drive  Parkville,320060.62655295,5815141.66393804,63342,144.9563439,Parkville,956,,False,False,False,False,Complete
"-37.795069349899, 144.929126038074","{""coordinates"": [144.929126038074, -37.795069349899], ""type"": ""Point""}",590,-37.79506935,29,Gower Street,29 Gower Street  Kensington,317668.03100452,5814902.22224567,33440,144.92912604,Kensington,668,,False,False,False,False,Complete
"-37.789819501473, 144.922755492249","{""coordinates"": [144.922755492249, -37.789819501473], ""type"": ""Point""}",590,-37.7898195,8,Howlett Street,8 Howlett Street  Kensington,317094.12053623,5815472.32939869,20467,144.92275549,Kensington,1422,,False,False,False,False,Complete
"-37.795045673219, 144.973022490093","{""coordinates"": [144.973022490093, -37.795045673219], ""type"": ""Point""}",585,-37.79504567,56,Kay Street,56 Kay Street  Carlton,321533.28615575,5814989.59587139,10928,144.97302249,Carlton,750,,False,False,False,False,Complete
