geo_point,geo_shape,grid_code,source,to_node,arcid,from_node,route_length_m
"-37.80099436679903, 144.9534200100625","{""coordinates"": [[[144.95386264049685, -37.80067712646731], [144.95325916148303, -37.80114426271297], [144.95315624749372, -37.801169509260404], [144.953122191492, -37.80116891731645], [144.95309899013355, -37.80118653756002], [144.95293881861022, -37.80122881218357]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,1855,1999,1799,104.43090797726524
"-37.800568902802134, 144.91665018543864","{""coordinates"": [[[144.91625498613098, -37.80080169396937], [144.91626684410775, -37.80078388037509], [144.9167398556803, -37.800521897956685], [144.91689021078844, -37.800425428933394], [144.9169245187353, -37.80041702410621], [144.91701710312256, -37.80035557983055], [144.91705141102406, -37.80034717496493]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,1830,2022,1875,87.02369865734286
"-37.802276643873995, 144.93296026306035","{""coordinates"": [[[144.9329545870473, -37.80227654424201], [144.93296593907343, -37.802276743505985]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,1987,2139,1986,1.000000002561137
"-37.80237643867766, 144.9740144185731","{""coordinates"": [[[144.9741364101668, -37.80147823200285], [144.97415862231097, -37.801496637699586], [144.9741551765599, -37.801622743492025], [144.97413173373693, -37.80164937557575], [144.97412976470198, -37.80172143602586], [144.97411816633746, -37.801730248286994], [144.9741285340516, -37.80176647380668], [144.97409275438727, -37.80182894080869], [144.97410386050296, -37.8018381436625], [144.97410189142758, -37.80191020410905], [144.97409029302926, -37.801919016366256], [144.97409918393745, -37.80200928722148], [144.97406438868524, -37.802035723986776], [144.97407426412943, -37.802089964620585], [144.97405057497977, -37.8021256042363], [144.97402220900923, -37.8023323873878], [144.9739982736007, -37.802377034543206], [144.9740093797833, -37.802386237407134], [144.97399778129733, -37.80239504965209], [144.97400888748243, -37.80240425251614], [144.97399704284143, -37.80242207231534], [144.97400814903034, -37.802431275179515], [144.97400741057726, -37.802458297842755], [144.97398372127026, -37.802493937438626], [144.97399482746783, -37.80250314030422], [144.9739829828066, -37.80252096010118], [144.97399310439332, -37.80256619318362], [144.97396892272835, -37.802619847882696], [144.97396818425597, -37.80264687054442], [144.97397929047358, -37.80265607341186], [144.97395633956393, -37.80266469033743], [144.97395363180584, -37.802763773428225], [144.97394203325237, -37.80277258566527], [144.97395264716326, -37.8027998036426], [144.97392895771378, -37.80283544322161], [144.9739269883978, -37.80290750364814], [144.973915389818, -37.802916315881625], [144.97392600373718, -37.80294353386104], [144.9739141589845, -37.802961353647326], [144.97392526524055, -37.80297055652055], [144.9739018218887, -37.80299718853818], [144.97389960636514, -37.80307825651436], [144.97388800775457, -37.80308706874404], [144.97389862168518, -37.803114286725595], [144.97387468592933, -37.80315893384092], [144.97388554603648, -37.80317714427091], [144.97386136407513, -37.80323079893472], [144.9738603793712, -37.80326682914418]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2032,2198,1843,214.22729683832796
"-37.8027555784182, 144.94459804842043","{""coordinates"": [[[144.94463313406013, -37.802580090058115], [144.94463188546047, -37.80262512700408], [144.94460768279515, -37.802678775054076], [144.944605934727, -37.802741826776234], [144.94459433282066, -37.80275063602059], [144.9445928344633, -37.80280468035279], [144.9445691311652, -37.80284031361381], [144.9445683819754, -37.80286733577914], [144.94457948444617, -37.80287654131511], [144.9445671333235, -37.80291237272106], [144.9445782358006, -37.80292157825727]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2040,2204,2008,40.162437588835054
"-37.80278076316208, 144.95104946493043","{""coordinates"": [[[144.9511385340845, -37.80226089117296], [144.95113654266697, -37.802332950584145], [144.9511249415735, -37.802341760497114], [144.95112319906693, -37.80240481248055], [144.9511115979603, -37.80241362239171], [144.9511098554379, -37.80247667437385], [144.95109825431808, -37.802485484283245], [144.95106982437665, -37.80269226003527], [144.9510582232173, -37.802701069939296], [144.95105623169025, -37.80277312934146], [144.95104463051626, -37.80278193924361], [144.95104288791384, -37.80284499121916], [144.9510312867267, -37.80285380111952], [144.95100285641053, -37.80306057683374], [144.95099125518385, -37.803069386728744], [144.95096232673146, -37.80329417726834], [144.95095072546232, -37.803302987157814]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2059,2216,1954,119.56716643284977
"-37.8030353024498, 144.93499082118078","{""coordinates"": [[[144.93477529984852, -37.80296634608219], [144.93478615015516, -37.80298455983936], [144.93480860353398, -37.80299396535242], [144.93481920293723, -37.80302118643971], [144.93486410973145, -37.803039997449886], [144.93491002016782, -37.803022779109966], [144.93494407663115, -37.803023376343276], [144.93503363942358, -37.80307000558779], [144.93505684552258, -37.803052389052645], [144.9351363106443, -37.803053782483616], [144.93514816455658, -37.80303596687134], [144.93517111974566, -37.8030273576473], [144.93521552490387, -37.803064183196135]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2063,2219,2055,48.97008398682308
"-37.80300415073415, 144.92587118164235","{""coordinates"": [[[144.92517899630758, -37.802932832179195], [144.92520144836632, -37.80294223948864], [144.92541688570245, -37.80295504684772], [144.92542798572282, -37.80296425412054], [144.9257566919786, -37.802988068016106], [144.92576779204742, -37.80299727525822], [144.92586996081462, -37.80299907485618], [144.92588106089963, -37.80300828208806], [144.92609649860265, -37.80302108821226], [144.92610759871994, -37.80303029542366], [144.9261984154614, -37.80303189480989], [144.9262095155934, -37.803041102012095], [144.92630033235397, -37.80304270132015], [144.92631143250063, -37.80305190851315], [144.9264022492803, -37.803053507743016], [144.9264133494416, -37.80306271492681], [144.92656067482437, -37.80307432079858]]], ""type"": ""MultiLineString""}",4,2008 DEM to stream order using ESRI Spatial Analy*,2074,2230,2067,125.29544660967449
"-37.803461344389156, 144.9601045700105","{""coordinates"": [[[144.95997168385466, -37.803198268584694], [144.96000450164127, -37.80324389594975], [144.9600037580644, -37.803270918374196], [144.96005928065773, -37.80331693904802], [144.9600585370989, -37.80334396147306], [144.9600469368619, -37.80335277228996], [144.96005804139241, -37.80336197642301], [144.96004644115249, -37.80337078723976], [144.9600686502213, -37.803389195505055], [144.9600681545165, -37.80340721045497], [144.96011158130668, -37.80348005687462], [144.96009824610533, -37.80355192002075], [144.96015426464936, -37.80357992570542], [144.96018658702872, -37.803643567975456], [144.96020929188742, -37.80364396126616], [144.96028751975575, -37.80369037512809]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2079,2236,2042,69.02866743902071
"-37.803932291416444, 144.97142295800506","{""coordinates"": [[[144.9713786569458, -37.80389097523704], [144.97146725906435, -37.80397360759585]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2086,2242,2080,12.041594579720401
